Identifier,Depth,Real depth,Label on bag,Bag name,Bag (g),Wet sediment+bag(g),Dry sediment (g)+bag,total dry sediment,Length of piece (cm),Length validity,Comments,aluminium?,Actual sample weight,Bag+aluminium paper,Aluminium paper,volume of section,density
38.5,15,17.5,38.5-39,m79,1.546,9.097,4.2002,2.6542,0.5,1,,y,,,,7.065,0.375682944
39,16,18,39-39.5,,,,,0,0.5,1,,y,,,,7.065,0
39.5,17,18.5,39.5-40,m70,1.552,5.5548,,-1.552,0.5,1,,n,,,,7.065,-0.219674452
50,16,20,50-51,a,5.076,14.534,,-6.376,1,1,,y,,,,14.13,-0.4512385
51,16.5,21,51-52,b,5.082,19.629,10.386,4.004,0.8,1,,y,,,,11.304,0.354210899
52,17,22,52-53,c,5.077,22.204,11.2156,4.8386,1,1,,y,,,,14.13,0.342434536
53,17.5,23,53-54,d,5.067,24.191,11.3182,4.9512,,0,,y,,,,0,#DIV/0!
54,26,24,54-55,e,5.065,25.564,9.51,3.145,0.5,1,,y,,,,7.065,0.445152159
55,27,25,55-56,f,5.082,20.478,,-6.382,0.7,1,,y,,,,9.891,-0.64523304
56,28,26,56-57,g,5.046,20.292,8.7296,1.8989,0.9,1,,y,1.75,6.8307,,12.717,0.149319808
57,29,27,57-58,h,5.033,22.223,8.9034,2.5704,,0,,y,,,,0,#DIV/0!
58,30,28,58-59,i,5.073,23.281,9.361,2.988,1.2,1,,y,,,,16.956,0.176220807
59,31,29,59-60,j,5.062,28.535,10.7034,4.3414,,0,,y,,,,0,#DIV/0!
60,32,30,60-61,k,5.045,21.385,9.407,2.0905,0.8,1,,y,1.5971,,2.2715,11.304,0.184934536
61,33,31,61-62,l,5.088,21.38,9.0428,2.6548,,0,,y,,,,0,#DIV/0!
62,34,32,62-63,m,4.992,18.97,8.619,2.327,0.6,1,,y,,,,8.478,0.274475112
63,35,33,63-64,n,4.982,19.133,8.2927,2.0107,,0,,y,1.7533,,1.4634,0,#DIV/0!
64,36,34,64-65,o,4.989,25.006,8.8387,2.5497,0.9,1,,y,1.7211,7.0564,2.0315,12.717,0.2004954
65,37,35,65-66,p,4.985,23.366,8.6544,2.3694,0.7,1,,y,,,,9.891,0.239551107
66,38,36,66-67,m49,5.131,20.411,8.1478,1.7168,1,1,,y,1.3829,,1.4366,14.13,0.121500354
67,39,37,67-68,m50,5.07,20.246,8.092,1.722,1,1,,y,,,,14.13,0.121868365
68,40,38,68-69,m1,5.014,22.579,9.2223,2.9083,1,1,,y,,,,14.13,0.205824487
69,41,39,69-70,m47,5.108,22.279,9.1198,2.7118,,0,,y,2.4527,6.6526,1.5342,0,#DIV/0!
70,42,40,70-71,m48,5.069,29.911,12.492,6.123,,0,,y,7.1468,,0.2762,0,#DIV/0!
71,43,41,71-72,m3,5.051,30.324,16.37,10.019,1.1,1,,y,9.0548,,2.2642,15.543,0.644598855
72,44,42,72-73,m2,5.092,26.768,17.1461,17.1456,0.9,1,,y,9.2462,7.0252,1.8751,12.717,1.34824251
73,45,43,73-74,m4,5.069,24.951,17.6054,11.2364,1,1,,y,,,,14.13,0.795215853
74,46,44,74-75,m5,5.095,28.522,20.5354,14.1404,1,1,,radiocarbon,12.6538,,2.7866,14.13,1.000736023
75a,47,45,75-76,m6,5.15,28,20.2494,15.0994,,0,,y,12.0063,,2.0902,0,#DIV/0!
75b,48,46,75-76,,5.09,38.584,25.2576,20.1676,1.4,1,,n,,,,19.782,1.019492468
76,49,47,76-77,,5.07,28.376,18.867,13.797,,0,,n,,,,0,#DIV/0!
77,50,48,77-78,,5.086,25.684,17.4442,12.3582,,0,,n,,,,0,#DIV/0!
78,51,49,78-79,,5.063,28.887,18.847,13.784,,0,,n,,,,0,#DIV/0!
79,52,50,79-80,,5.07,29.541,18.928,13.858,,0,c,n,,,,0,#DIV/0!
80,53,51,80-81,,5.085,30.852,20.0426,14.9576,1.1,1,,n,,,,15.543,0.962336743
81,54,52,81-82,,5.092,28.2811,18.5264,13.4344,0.9,1,,n,,,,12.717,1.056412676
82,55,53,82-83,,5.054,28.832,18.606,13.552,,0,,n,,,,0,#DIV/0!
83,56,54,83-84,,5.069,33.1164,21.327,16.258,0.8,1,,n,,,,11.304,1.438251946
84,57,55,84-85,,5.114,27.3886,18.2073,13.0933,0.8,1,,n,,,,11.304,1.158289101
85,58,56,85-86,,5.102,29.272,19.107,14.005,,0,,n,,,,0,#DIV/0!
86,59,57,86-87,,5.091,26.261,16.991,11.9,,0,,n,,,,0,#DIV/0!
87,60,58,87-88,,5.083,32.003,20.468,15.385,,0,,n,,,,0,#DIV/0!
88,61,59,88-89,,5.012,35.2696,23.3834,18.3714,1.1,1,,n,,,,15.543,1.181972592
89,62,60,89-90,,4.991,26.073,17.631,12.64,,0,c,n,,,,0,#DIV/0!
90,63,61,90-91,,,27.599,19.1418,19.1418,1,1,,n,,,,14.13,1.354692144
