age,level
4.505,0.20
6.486,-0.60
7.646,-4.50
7.958,-6.00
8.113,-6.40
24.476,-133.00
29.213,-133.00
19.459,-128.00
21.922,-125.00
23.788,-125.00
6.051,1.40
6.165,1.20
6.492,1.40
7.048,1.40
7.304,1.00
5.334,0.90
5.632,0.90
6.200,1.00
6.358,1.00
6.569,0.50
5.454,0.60
5.785,0.50
5.738,0.80
5.855,0.70
5.773,1.10
5.936,0.80
0.445,0.70
1.470,-0.90
1.780,0.80
3.475,0.10
3.815,-1.40
4.115,-2.70
4.595,0.30
6.125,-0.40
6.450,-1.20
7.030,-0.40
7.205,-0.90
7.280,-2.40
7.295,-3.40
7.520,-1.90
7.680,-6.40
7.700,-7.90
7.725,-4.90
7.725,-4.90
8.050,-10.90
8.060,-9.40
8.110,-8.40
8.125,-11.70
8.235,-14.20
8.290,-17.70
8.400,-14.70
8.405,-17.70
8.555,-16.90
21.000,-125.00
2.095,0.50
2.104,0.50
3.445,0.30
3.930,0.90
4.368,0.70
4.600,1.30
5.026,0.90
6.060,-0.40
6.328,-0.80
6.440,-0.10
6.589,-1.60
6.918,-1.50
6.935,-1.20
6.973,-0.60
7.138,-1.60
7.231,-2.60
7.244,-1.70
7.266,-2.50
7.280,-3.30
7.424,-3.10
7.424,-4.50
7.441,-4.30
7.793,-7.50
8.071,-8.60
8.097,-9.60
8.136,-10.30
2.826,0.50
1.900,0.40
3.132,1.00
0.916,0.20
2.611,0.50
2.801,0.50
2.826,0.50
2.851,0.50
3.170,0.40
3.221,0.50
3.439,0.60
3.503,0.70
3.913,0.20
0.800,2.40
2.900,0.50
6.900,-7.90
7.400,-10.10
8.000,-11.10
3.740,0.70
4.110,-1.70
4.289,-1.90
4.685,1.40
7.200,-7.80
8.200,-6.70
9.170,-28.80
9.640,-34.70
9.725,-34.70
11.080,-58.50
11.375,-60.00
11.405,-59.30
11.635,-60.50
12.035,-61.50
1.500,2.20
2.660,-2.20
3.700,0.10
6.950,-6.80
7.200,-3.80
7.305,-9.00
7.965,-9.00
8.200,-5.90
8.200,-8.10
8.600,-13.20
9.110,-18.50
16.900,-123.00
17.100,-123.00
18.200,-123.00
8.993,-18.00
9.068,-18.00
9.219,-18.00
9.373,-29.00
9.849,-28.00
9.979,-28.00
10.793,-44.00
10.904,-36.00
11.581,-48.00
17.078,-102.00
20.042,-110.00
0.726,1.20
8.934,-22.90
8.936,-22.20
9.155,-26.10
9.618,-30.90
9.922,-31.20
9.930,-19.50
10.571,-39.00
10.808,-40.40
11.078,-42.10
11.391,-55.90
11.392,-54.50
11.511,-56.20
11.512,-55.80
12.002,-59.10
12.170,-59.50
12.203,-59.40
12.798,-62.40
12.844,-64.30
12.993,-65.80
13.088,-67.40
13.179,-67.90
13.555,-71.30
13.574,-71.60
13.578,-71.80
13.632,-72.10
14.082,-91.00
14.255,-93.20
14.295,-92.00
14.396,-95.10
14.408,-95.00
14.539,-96.50
14.573,-93.90
17.580,-109.60
18.116,-109.00
18.174,-109.70
18.176,-109.90
18.218,-109.80
18.408,-105.60
18.448,-109.90
18.549,-110.90
18.716,-113.10
18.746,-111.40
18.783,-111.60
18.806,-113.30
19.075,-118.00
19.392,-106.00
19.518,-107.50
19.708,-108.00
30.147,-85.60
30.225,-86.00
30.242,-86.60
30.298,-86.60
