
Boundary()	
@depthModel	23334.5	23074.5	23374	22966.5	
@depthModel	23330	23073	23371.5	22966.5	
@depthModel	23325	23068.5	23370	22964	
@depthModel	23320.5	23065.5	23368.5	22960.5	
@depthModel	23316	23061	23366	22960	
@depthModel	23311	23056.5	23365	22955.5	
@depthModel	23306	23052.5	23362	22955	
@depthModel	23301	23049	23360	22952.5	
@depthModel	23296	23044.5	23358.5	22950	
@depthModel	23291	23040.5	23355	22950	
@depthModel	23286.5	23036.5	23354.5	22945	
@depthModel	23281.5	23033.5	23350.5	22945	
@depthModel	23277	23029.5	23349.5	22941.5	
@depthModel	23274.5	23025.5	23346.5	22940.5	
@depthModel	23268	23022	23344.5	22938.5	
@depthModel	23263	23018.5	23342	22936.5	
@depthModel	23258.5	23015	23339.5	22934	
@depthModel	23253	23011	23336.5	22933	
@depthModel	23248.5	23008.5	23335	22930	
@depthModel	23245	23006.5	23331	22929.5	
@depthModel	23239.5	23001.5	23330	22926.5	
@depthModel	23234.5	22999	23327	22925	
@depthModel	23230	22995	23324	22923.5	
@depthModel	23225	22994.5	23321.5	22920.5	
@depthModel	23225	22969	23364.5	22701.5	
@depthModel	23236	22949.5	23364.5	22308.5	
@depthModel	23253	22923.5	23360.5	22070	
@depthModel	23273.5	22889.5	23355.5	21883	
@depthModel	23287.5	22819	23349	21755.5	
@depthModel	23292.5	22718	23342	21655.5	
@depthModel	23289	22616	23333.5	21567	
@depthModel	23285	22498.5	23325	21494	
@depthModel	23273	22393	23313.5	21445	
@depthModel	23262.5	22277	23303.5	21397	
@depthModel	23247.5	22183	23292.5	21356	
@depthModel	23234	22023	23280	21300	
@depthModel	23204.5	21709.5	23263.5	21262.5	
@depthModel	23180	21582	23250.5	21231	
@depthModel	23156	21472.5	23232.5	21194.5	
@depthModel	23134	21385	23219	21156	
@depthModel	23100.5	21334.5	23197	21135.5	
@depthModel	23068.5	21273.5	23174	21103	
@depthModel	23027.5	21225.5	23149.5	21078	
@depthModel	22987.5	21159	23126	21048.5	
@depthModel	22357	21115.5	23098	21024	
@depthModel	22242	21080.5	23070	21000	
@depthModel	22133	21059.5	23024	20967	
@depthModel	22030.5	21036	22990.5	20944	
@depthModel	21930	21030	22935	20915.5	
@depthModel	21841	21032.5	22853	20877	
@depthModel	21778.5	21041	22718	20844	
@depthModel	21710.5	21040.5	22620	20815	
@depthModel	21663	21044	22423	20789.5	
@depthModel	21613	21047	22193.5	20775	
@depthModel	21574.5	21049.5	21910	20798.5	
@depthModel	21546	21015	21890	20545	
@depthModel	21569	20978	21894.5	19762	
@depthModel	21587.5	20924.5	21874.5	19367.5	
@depthModel	21620	20866	21847	18525.5	
@depthModel	21653.5	20782	21822.5	18508.5	
@depthModel	21684.5	20662	21796	18493.5	
@depthModel	21707.5	20516	21776	18464	
@depthModel	21685	18504	21749	18445	
@depthModel	21652	18481	21712	18443.5	
@depthModel	21632	18458.5	21678.5	18431.5	
@depthModel	21607.5	18442.5	21643.5	18422	
@depthModel	21585.5	18423.5	21623	18404	
@depthModel	21550.5	18410.5	21588	18398.5	
@depthModel	21530	18397	21555.5	18384.5	
@depthModel	21499	18384	21534	18375.5	
@depthModel	21477	18369	21522.5	18360	
@depthModel	21434	18363	21476.5	18356	
@depthModel	21400	18357	21447.5	18348	
@depthModel	21366.5	18349.5	21420.5	18342.5	
@depthModel	21326	18339.5	21401	18331.5	
@depthModel	21281	18334	21349.5	18325	
@depthModel	21197	18324	21321	18314	
@depthModel	21122.5	18315	21290	18306	
@depthModel	21038	18304.5	21291.5	18294	
@depthModel	19225.5	18305	21187.5	18284.5	
@depthModel	19008.5	18306	21127.5	18269	
@depthModel	18831.5	18313	21048.5	18256	
@depthModel	18686.5	18329	21024	18236	
@depthModel	18639.5	18350	20405.5	18205.5	
@depthModel	18606	18367.5	19910.5	18182.5	
@depthModel	18587.5	18381	19179.5	18184	
@depthModel	18575.5	18363.5	18727	17592.5	
@depthModel	18591.5	18335	18731.5	16562.5	
@depthModel	18614.5	18279.5	18729	15762	
@depthModel	18633.5	18185	18726.5	15176	
@depthModel	18641.5	18022.5	18718.5	14681	
@depthModel	18644	17842	18715	14286.5	
@depthModel	18645	17649.5	18709	13922.5	
@depthModel	18647.5	17440	18705.5	13572.5	
@depthModel	18640	17207	18698.5	13338	
@depthModel	18636.5	16988.5	18691.5	13067	
@depthModel	18629.5	16702	18682.5	12842	
@depthModel	18626	16518	18677	12545.5	
@depthModel	18621	16303	18671	12357.5	
@depthModel	18616	16058.5	18666	12175	
@depthModel	18611.5	15862	18654	12025.5	
@depthModel	18607.5	15616	18649	11841	
@depthModel	18597	15415.5	18639	11690.5	
@depthModel	18589	15235	18629.5	11544	
@depthModel	18578	14994.5	18619	11458.5	
@depthModel	18571	14774.5	18611.5	11267	
@depthModel	18560	14588.5	18598	11200.5	
@depthModel	18549	14348.5	18590.5	11082	
@depthModel	18537	14128.5	18577	11007	
@depthModel	18531.5	14002	18565.5	10870	
@depthModel	18506.5	13782	18549.5	10807	
@depthModel	18493	13424	18534.5	10709.5	
@depthModel	18474.5	13333.5	18516	10622	
@depthModel	18452.5	12982.5	18500.5	10565	
@depthModel	18419	12851.5	18469.5	10416.5	
@depthModel	18380.5	12422	18441	10355	
@depthModel	18310	11922.5	18391.5	10207	
@depthModel	17557.5	10587.5	18309.5	10129.5	
@depthModel	16296	10142	18240.5	10060.5	
@depthModel	16045	10097.5	18071	9932	
@depthModel	15520.5	10014	17949.5	9886.5	
@depthModel	15390	9904.5	17857	9849	
@depthModel	15187.5	9886.5	17767.5	9823	
@depthModel	14922	9858	17651	9796.5	
@depthModel	14650.5	9835	17568.5	9782	
@depthModel	14567.5	9806.5	17519	9762	
@depthModel	14222	9798	17387.5	9751.5	
@depthModel	14130.5	9786	17305.5	9741	
@depthModel	13895.5	9775.5	17147	9726	
@depthModel	13675.5	9759.5	17098	9713.5	
@depthModel	13440	9751	16938.5	9708.5	
@depthModel	13213.5	9742	16824.5	9703	
@depthModel	12968	9733	16672	9696	
@depthModel	12732	9714	16560	9690	
@depthModel	12515.5	9711.5	16407.5	9686	
@depthModel	12344	9707	16112.5	9681	
@depthModel	12082	9703.5	16015	9673.5	
@depthModel	11841.5	9700.5	15819.5	9664.5	
@depthModel	11645	9698.5	15595.5	9657	
@depthModel	11396.5	9696	15362.5	9634.5	
@depthModel	11170.5	9693.5	15108	9626	
@depthModel	10907	9689.5	14826	9611.5	
@depthModel	10731	9690	14495	9607	
@depthModel	10525	9690	14078.5	9603.5	
@depthModel	10355.5	9693	13725	9600.5	
@depthModel	10189.5	9698	13245	9594	
@depthModel	10155	9709	12571.5	9591	
@depthModel	10145	9710.5	11787	9583	
@depthModel	10127	9734	10731	9595	
@depthModel	10117	9704	10177.5	9286	
@depthModel	10121	9695	10176.5	8712	
@depthModel	10124.5	9681.5	10173.5	8383	
@depthModel	10133.5	9657	10170	7572	
@depthModel	10141	9569	10164	7570.5	
@depthModel	10146	9441.5	10158.5	7569	
@depthModel	10145	7571.5	10155	7568	
@depthModel	10142.5	7567.5	10151.5	7566.5	
@depthModel	10133	7567.5	10145.5	7566.5	
@depthModel	10125	7567	10134.5	7566.5	
@depthModel	10117.5	7566.5	10124	7566	
@depthModel	10113.5	7566	10118	7565.5	
@depthModel	10105.5	7565.5	10110	7565.5	
@depthModel	10093.5	7565.5	10103	7565.5	
@depthModel	9940	7565	10078.5	7565	
@depthModel	9926	7562.5	9941.5	7562.5	
