Sample Name,d (0.1),d (0.5),d (0.9),Result Between User Sizes (Sizes in um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 - Average,1.37,10.229,80.742,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008933,0.08895,0.299312,0.502643,0.700022,0.884599,1.041968,1.179982,1.301057,1.420928,1.550581,1.702455,1.874776,2.058024,2.231846,2.381993,2.50537,2.609555,2.706963,2.809491,2.927171,3.060581,3.206154,3.34706,3.467777,3.546817,3.571978,3.534949,3.436089,3.290624,3.119014,2.952973,2.814863,2.719618,2.660567,2.611657,2.527927,2.358324,2.066371,1.650153,1.164672,0.700326,0.368826,0.229551,0.310197,0.62192,1.096711,1.559911,1.768031,1.599577,1.125965,0.611094,0.105968,0.007136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176 - Average,1.234,7.565,41.199,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012169,0.121528,0.410832,0.647661,0.858485,1.042848,1.190253,1.315244,1.425759,1.543088,1.682984,1.861146,2.075989,2.316567,2.558575,2.783757,2.983609,3.159409,3.318002,3.46698,3.614916,3.761441,3.903728,4.026695,4.116971,4.156654,4.134392,4.043809,3.881399,3.658145,3.383059,3.07871,2.755676,2.429443,2.102977,1.782867,1.472142,1.176617,0.902581,0.655499,0.449152,0.386079,0.386578,0.382197,0.379695,0.362941,0.329515,0.280378,0.227058,0.187106,0.179084,0.206744,0.258508,0.315318,0.357689,0.373062,0.356624,0.308439,0.239046,0.151063,0.071118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166 - Average,1.217,8.101,57.414,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013209,0.127293,0.390064,0.628289,0.850258,1.050242,1.214095,1.353607,1.475088,1.599417,1.742075,1.918567,2.126279,2.351745,2.567406,2.752556,2.899634,3.014131,3.108627,3.197549,3.294255,3.402951,3.522154,3.636558,3.729302,3.777266,3.76371,3.678099,3.517285,3.298391,3.043023,2.788964,2.561257,2.379128,2.238235,2.119703,1.990981,1.818753,1.582113,1.283453,0.961943,0.667961,0.479909,0.393146,0.379829,0.478832,0.668221,0.807181,0.822902,0.692627,0.473549,0.261277,0.121742,0.115292,0.15568,0.172352,0.173647,0.153779,0.112719,0.071052,0.030646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187 - Average,1.11,6.755,27.854,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012532,0.265133,0.510093,0.768405,0.99918,1.197343,1.353959,1.478131,1.580352,1.684009,1.809424,1.976219,2.185774,2.426881,2.672067,2.89953,3.100202,3.278345,3.446146,3.617322,3.805371,4.010393,4.226466,4.426764,4.5842,4.661989,4.634719,4.487813,4.217716,3.851019,3.415746,2.96319,2.524623,2.132257,1.791079,1.496521,1.228497,0.966605,0.69922,0.428644,0.206481,0.117084,0.086281,0.058053,0.030455,0.049339,0.168684,0.301614,0.37542,0.36183,0.276165,0.13167,0.023049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126 - Average,1.275,8.853,162.489,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015068,0.139811,0.37866,0.596105,0.798995,0.982612,1.134476,1.265726,1.382348,1.503791,1.644184,1.817885,2.022143,2.244424,2.45884,2.645854,2.797556,2.917482,3.015221,3.101736,3.187166,3.273671,3.358844,3.430182,3.474939,3.478744,3.431994,3.331958,3.177736,2.983215,2.761433,2.537309,2.325372,2.139353,1.977538,1.830846,1.680419,1.507893,1.305643,1.083362,0.873416,0.713574,0.637147,0.647936,0.771754,1.006474,1.253657,1.41468,1.391532,1.161667,0.803712,0.451969,0.188152,0.149638,0.223166,0.288228,0.3564,0.40824,0.43734,0.438752,0.411178,0.354716,0.279003,0.154351,0.042786,0,0,0,0,0,0,0,0,0,0,0
38 - Average,5.925,26.934,187.066,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059181,0.116993,0.165298,0.18576,0.192085,0.185874,0.178734,0.182255,0.208356,0.264418,0.352449,0.466536,0.598296,0.738654,0.880496,1.019792,1.154626,1.290639,1.435626,1.607253,1.820457,2.100099,2.45423,2.900498,3.416514,3.990804,4.565389,5.10017,5.53101,5.821442,5.939225,5.874045,5.626117,5.200457,4.606086,3.860613,2.99278,2.073291,1.196422,0.508617,0.163911,0.250404,0.759482,1.552565,2.32347,2.71392,2.527573,1.820906,0.949296,0.076883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 - Average,8.783,37.379,229.453,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08717,0.123884,0.140716,0.140758,0.132878,0.12323,0.121661,0.13625,0.171327,0.226167,0.294369,0.36901,0.445587,0.523709,0.606058,0.696203,0.801004,0.925669,1.079284,1.264872,1.492334,1.759665,2.077864,2.437844,2.850069,3.303196,3.806535,4.343154,4.901575,5.431605,5.870643,6.128405,6.1171,5.769085,5.064861,4.044701,2.838853,1.630453,0.684031,0.229951,0.435263,1.289817,2.517558,3.686874,4.264131,3.971437,2.893878,1.610856,0.138454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117 - Average,1.261,7.721,58.112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010971,0.107622,0.347531,0.575037,0.791434,0.989284,1.154155,1.297322,1.425481,1.560385,1.71825,1.915613,2.149591,2.405771,2.653881,2.870662,3.046536,3.185759,3.300087,3.40272,3.504988,3.60785,3.706476,3.784463,3.825741,3.814259,3.741312,3.610276,3.427115,3.213447,2.98482,2.763368,2.55525,2.363415,2.176251,1.977421,1.742185,1.448968,1.094588,0.705051,0.34164,0.091486,0.027745,0.006297,0.182167,0.692542,1.216742,1.61685,1.721001,1.494031,1.030506,0.573337,0.05032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58 - Average,4.942,26.334,216.014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070219,0.138464,0.201403,0.238379,0.26493,0.281067,0.29803,0.324801,0.370682,0.439032,0.528545,0.631699,0.741966,0.856133,0.975753,1.106525,1.255282,1.43254,1.643299,1.895366,2.182292,2.504253,2.841931,3.192696,3.532806,3.86136,4.16177,4.436424,4.675208,4.873906,5.013469,5.068486,5.001089,4.767795,4.329833,3.670953,2.810522,1.839378,0.886078,0.147104,0,0.101448,0.824041,1.888384,2.89325,3.427142,3.264323,2.453611,1.515509,0.140826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87 - Average,1.339,13.019,170.242,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017443,0.156105,0.368016,0.568544,0.758529,0.932054,1.075847,1.197863,1.301282,1.401447,1.50953,1.637154,1.78259,1.936172,2.078646,2.196669,2.287321,2.356543,2.414034,2.46994,2.532506,2.602962,2.678396,2.747845,2.801587,2.828838,2.824479,2.787207,2.719114,2.629814,2.528358,2.426988,2.330498,2.242148,2.159059,2.07817,1.997045,1.918632,1.85303,1.816321,1.822701,1.873565,1.950587,2.026415,2.089113,2.151221,2.208347,2.219348,2.10935,1.804663,1.331276,0.867511,0.46042,0.117132,0.019622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
