Sample Name,Result 0.01µm-7.00µm,Result 7.00µm-63.00µm,Result 63.00µm-1000.00µm,Measurement date and time
51,14.968,62.436,22.597,"Friday, 4 October 2019 1:50:36 PM"
51,15.157,63.125,21.718,"Friday, 4 October 2019 1:51:17 PM"
51 - Average,15.003,62.511,22.487,"Friday, 4 October 2019 1:49:55 PM"
95,46.619,46.396,6.985,"Friday, 4 October 2019 1:54:50 PM"
95,49.31,48.518,2.172,"Friday, 4 October 2019 1:55:30 PM"
95,49.269,49.021,1.71,"Friday, 4 October 2019 1:56:11 PM"
95 - Average,48.399,47.979,3.622,"Friday, 4 October 2019 1:54:50 PM"
90,32.743,33.406,23.927,"Friday, 4 October 2019 2:00:04 PM"
90,40.264,42.917,16.819,"Friday, 4 October 2019 2:00:44 PM"
90,40.351,43.677,15.973,"Friday, 4 October 2019 2:01:25 PM"
90 - Average,37.785,39.999,18.907,"Friday, 4 October 2019 2:00:04 PM"
79,45.894,40.973,13.133,"Friday, 4 October 2019 2:06:51 PM"
79,45.53,40.499,13.97,"Friday, 4 October 2019 2:07:32 PM"
79,46.488,41.433,12.08,"Friday, 4 October 2019 2:08:13 PM"
79 - Average,45.971,40.968,13.061,"Friday, 4 October 2019 2:06:51 PM"
112,35.963,34.945,20.796,"Friday, 4 October 2019 2:13:23 PM"
112,43.196,41.874,14.93,"Friday, 4 October 2019 2:14:04 PM"
112,42.708,41.386,15.907,"Friday, 4 October 2019 2:14:44 PM"
112 - Average,40.622,39.402,17.211,"Friday, 4 October 2019 2:13:23 PM"
197,39.288,36.688,16.089,"Friday, 4 October 2019 2:19:51 PM"
197,47.429,44.096,8.475,"Friday, 4 October 2019 2:20:32 PM"
197,48.495,44.503,7.002,"Friday, 4 October 2019 2:21:12 PM"
197 - Average,45.071,41.762,10.522,"Friday, 4 October 2019 2:19:51 PM"
53,12.349,63.152,24.499,"Friday, 4 October 2019 2:25:28 PM"
53,12.576,64.03,23.394,"Friday, 4 October 2019 2:26:08 PM"
53,12.607,64.596,22.797,"Friday, 4 October 2019 2:26:49 PM"
53 - Average,12.51,63.926,23.563,"Friday, 4 October 2019 2:25:28 PM"
96,35.03,33.178,18.849,"Friday, 4 October 2019 2:31:59 PM"
96,45.875,43.515,10.61,"Friday, 4 October 2019 2:32:40 PM"
96,46.025,45.219,8.757,"Friday, 4 October 2019 2:33:20 PM"
96 - Average,42.31,40.637,12.738,"Friday, 4 October 2019 2:31:59 PM"
110,43.49,43.386,13.125,"Friday, 4 October 2019 2:37:13 PM"
110,44.151,44.147,11.702,"Friday, 4 October 2019 2:37:54 PM"
110,44.598,44.022,11.38,"Friday, 4 October 2019 2:38:35 PM"
110 - Average,44.079,43.852,12.069,"Friday, 4 October 2019 2:37:13 PM"
114,54.953,44.36,0.687,"Friday, 4 October 2019 2:45:28 PM"
114,54.546,44.88,0.574,"Friday, 4 October 2019 2:46:08 PM"
114,54.709,44.891,0.401,"Friday, 4 October 2019 2:46:49 PM"
114 - Average,54.736,44.712,0.552,"Friday, 4 October 2019 2:45:28 PM"
106,58.608,36.543,4.849,"Friday, 4 October 2019 2:50:59 PM"
106,58.268,41.377,0.356,"Friday, 4 October 2019 2:51:40 PM"
106,58.054,41.725,0.221,"Friday, 4 October 2019 2:52:21 PM"
106 - Average,58.31,39.879,1.811,"Friday, 4 October 2019 2:50:59 PM"
