"","median","Depth","d_g_wet_sed","Identifier","NorTi","NorAl","NorSi","NorSr","NorRb","NorCa","NorFe","sedrate.mm","Water","Dry_bulk_density2","Fraction","Percentage","averaged.d13C","averaged.C.N","averaged.d15N","averaged.C","averaged.N","max","min","mean","d.0.5","PrC","age_k","Fe_Ti","Si_Ti","Si_Al"
"44",2524,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.524,NA,NA,NA
"45",2597,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.597,NA,NA,NA
"46",2643,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0125786163522013,57.6471304983551,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.643,NA,NA,NA
"47",2671,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.671,NA,NA,NA
"48",2749,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.749,NA,NA,NA
"49",2831,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.831,NA,NA,NA
"50",2911,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.911,NA,NA,NA
"51",2986,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.986,NA,NA,NA
"52",3058,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.058,NA,NA,NA
"53",3139,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.139,NA,NA,NA
"54",3220,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22,NA,NA,NA
"55",3296,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.296,NA,NA,NA
"56",3372,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.372,NA,NA,NA
"57",3432,4,NA,30,NA,NA,NA,NA,NA,NA,NA,0.0125628140703518,38.1527206218564,0.15,NA,NA,-23.2,11,3.22,16.7,1.521,3101,3823,3439,NA,NA,3.432,NA,NA,NA
"58",3451,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.451,NA,NA,NA
"59",3524,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.524,NA,NA,NA
"60",3602,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.602,NA,NA,NA
"61",3679,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.679,NA,NA,NA
"62",3749,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.749,NA,NA,NA
"63",3825,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.825,NA,NA,NA
"64",3904,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.904,NA,NA,NA
"65",3985,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.985,NA,NA,NA
"66",4061,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.061,NA,NA,NA
"67",4136,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.136,NA,NA,NA
"68",4211,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.211,NA,NA,NA
"69",4221,5,NA,31,NA,NA,NA,NA,NA,NA,NA,0.0943396226415094,65.141849078341,0.309709837225761,"sumdepth69",78.592543,-25.41,17.9,1.63,9,0.501,3846,4674,4235,30.084,NA,4.221,NA,NA,NA
"70",4221,5,NA,31,NA,NA,NA,NA,NA,NA,NA,0.0943396226415094,65.141849078341,0.309709837225761,"sumdepth_sand",19.528633,-25.41,17.9,1.63,9,0.501,3846,4674,4235,30.084,NA,4.221,NA,NA,NA
"71",4221,5,NA,31,NA,NA,NA,NA,NA,NA,NA,0.0943396226415094,65.141849078341,0.309709837225761,"sumdepth2",1.878826,-25.41,17.9,1.63,9,0.501,3846,4674,4235,30.084,NA,4.221,NA,NA,NA
"72",4286,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.286,NA,NA,NA
"73",4299,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.299,NA,NA,NA
"74",4309,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.309,NA,NA,NA
"75",4309,6,55152.0035297282,32,NA,NA,NA,NA,NA,NA,NA,0.0934579439252336,58.9073129251701,0.13,NA,NA,-25.76,NA,NA,3.5,NA,4004,4823,4341,NA,NA,4.309,NA,NA,NA
"76",4309,6,55152.0035297282,32,NA,NA,NA,NA,NA,NA,NA,0.0934579439252336,58.9073129251701,0.13,NA,NA,-25.76,NA,NA,3.5,NA,4004,4823,4341,NA,NA,4.309,NA,NA,NA
"77",4309,6,55152.0035297282,32,NA,NA,NA,NA,NA,NA,NA,0.0934579439252336,58.9073129251701,0.13,NA,NA,-25.76,NA,NA,3.5,NA,4004,4823,4341,NA,NA,4.309,NA,NA,NA
"78",4309,6,55152.0035297282,32,NA,NA,NA,NA,NA,NA,NA,0.0934579439252336,58.9073129251701,0.13,NA,NA,-25.76,NA,NA,3.5,NA,4004,4823,4341,NA,NA,4.309,NA,NA,NA
"79",4309,6,55152.0035297282,32,NA,NA,NA,NA,NA,NA,NA,0.0934579439252336,58.9073129251701,0.13,NA,NA,-25.76,NA,NA,3.5,NA,4004,4823,4341,NA,NA,4.309,NA,NA,NA
"80",4309,6,55152.0035297282,32,NA,NA,NA,NA,NA,NA,NA,0.0934579439252336,58.9073129251701,0.13,NA,NA,-25.76,NA,NA,3.5,NA,4004,4823,4341,NA,NA,4.309,NA,NA,NA
"81",4309,6,55152.0035297282,32,NA,NA,NA,NA,NA,NA,NA,0.0934579439252336,58.9073129251701,0.13,NA,NA,-25.76,NA,NA,3.5,NA,4004,4823,4341,NA,NA,4.309,NA,NA,NA
