"","Identifier","Ampl..44","d13C","d15N","X.C.1","X.N.1","C.N"
"353","120",2023,-23.93,8.63,0.14,0.03,4.6
"354","91",2864,-24.91,7.92,0.26,0.03,8.1
"355","93",3854,-24.46,8.6,0.22,0.03,6.5
"356","101",3925,-24.7,8.52,0.25,0.03,7.5
"363","109",2731,-24.9,8.67,0.2,0.03,5.9
"364","53",2682,-24.57,7.47,0.47,0.04,10.8
"365","56",3323,-24.47,8.3,3.97,0.25,15.8
"366","63",3236,-24.58,7.84,2.38,0.08,30.4
"367","25",1258,-24.63,7.64,0.28,0,NA
"368","162",3266,-24.84,7.76,0.59,0.12,4.8
"369","101",3542,-22.69,7.72,1.5,0.12,13
"370","160",3437,-25.09,7.43,0.57,0.1,5.9
"371","78",3358,-27.18,7.59,2.68,0.14,19.3
"372","80",2722,-27.2,7.49,2.38,0.14,17.5
