Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000033.spe,97.85,5.65,1,0.018673,-0.004017,0.009223,0.089663,46430.52344,1.09,22,15,22,0,0,0,265,0,14,15,70,70,189,698,496,14,267,153,132,0,0,292,6,0,22,35,40,59,84,33,176,0,0,73418,12600,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000034.spe,98.85,5.63,1,0.018673,-0.004017,0.009223,0.089663,46213.50781,1.11,0,21,0,0,0,27,252,0,45,49,78,30,305,667,250,191,197,0,23,0,0,175,0,19,9,11,55,52,52,120,398,0,77,72921,12325,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000035.spe,99.85,5.68,1,0.018673,-0.004017,0.009223,0.089663,46377.49609,1.27,0,0,0,0,9,0,234,0,34,40,118,45,345,513,222,58,182,25,122,216,109,297,0,0,0,25,50,51,54,18,296,29,89,74130,12632,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000036.spe,100.85,5.66,1,0.018673,-0.004017,0.009223,0.089663,46228.94531,1.06,33,53,22,36,5,0,287,0,36,46,105,70,283,725,369,55,269,30,0,18,0,495,15,26,11,12,23,75,85,98,244,0,175,73121,12565,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000037.spe,101.85,5.68,1,0.018673,-0.004017,0.009223,0.089663,46386.07422,1.11,0,25,16,41,0,17,224,19,46,20,86,374,296,605,454,141,220,0,0,0,43,653,0,14,29,30,19,64,112,85,139,0,139,73211,12739,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000038.spe,102.85,5.66,1,0.018673,-0.004017,0.009223,0.089663,47584.96484,1.25,0,45,19,40,0,0,175,0,35,37,118,263,246,502,382,95,310,108,64,0,0,197,0,0,26,28,50,62,89,49,187,31,208,72771,12300,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000039.spe,103.85,5.58,1,0.018673,-0.004017,0.009223,0.089663,48135.51563,1.43,0,21,38,16,0,7,177,0,34,42,119,460,0,453,359,118,355,223,0,0,0,369,0,0,13,30,52,41,63,52,299,0,171,73039,12224,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000040.spe,104.85,5.57,1,0.018673,-0.004017,0.009223,0.089663,48749.89844,1.82,5,64,20,29,32,0,120,0,28,27,145,709,0,431,251,141,457,43,0,0,0,178,6,0,20,30,49,46,46,118,251,193,217,73109,12338,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000041.spe,105.85,5.46,1,0.018673,-0.004017,0.009223,0.089663,48842.44922,1.64,0,28,36,9,14,5,26,0,65,72,118,295,430,453,302,178,549,192,0,0,0,135,0,9,0,15,49,25,20,65,202,103,227,74201,12562,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000042.spe,106.85,5.49,1,0.018673,-0.004017,0.009223,0.089663,48768.46484,1.59,20,36,30,30,18,0,84,0,84,55,87,164,11,363,285,87,256,0,0,0,0,78,0,0,0,15,42,35,55,169,134,126,202,73646,12456,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000043.spe,107.85,5.48,1,0.018673,-0.004017,0.009223,0.089663,48769.15625,2.06,7,35,33,25,16,0,112,0,38,43,113,993,0,406,236,134,233,291,0,0,0,54,0,0,0,20,62,53,47,112,197,71,151,74014,12325,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000044.spe,108.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48898.11328,1.94,28,47,41,19,8,10,135,11,49,39,93,650,0,406,205,113,239,218,0,0,0,164,0,23,0,22,65,49,36,122,257,25,141,74241,12661,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000045.spe,109.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48460.48047,1.78,0,27,26,0,13,0,121,7,11,28,85,532,0,513,359,153,361,216,0,0,0,0,0,17,12,16,24,26,70,185,225,259,236,73821,12315,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000046.spe,110.85,5.63,1,0.018673,-0.004017,0.009223,0.089663,47190.03516,1.26,25,41,57,19,0,13,239,0,14,10,122,178,32,527,280,129,121,0,0,170,0,268,10,14,41,20,26,57,70,103,237,52,101,74136,11944,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000047.spe,111.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48752.70313,1.52,5,0,15,19,0,7,91,0,30,52,105,180,34,500,347,0,508,111,89,0,0,187,0,0,7,29,49,42,39,119,100,195,329,75076,12119,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000048.spe,112.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48713.41016,1.5,0,25,36,38,0,14,105,0,43,29,93,179,105,412,127,49,299,215,0,0,0,221,6,8,16,27,52,65,67,133,279,165,237,74259,12123,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000049.spe,113.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48784.69922,1.57,0,50,27,0,5,0,108,12,41,37,194,33,495,483,119,0,361,0,0,0,0,69,5,20,28,14,29,94,108,140,486,186,286,74266,12339,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000050.spe,114.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48788.79297,1.46,0,52,45,21,10,0,69,0,21,53,106,9,84,565,309,0,529,186,0,0,0,254,0,0,0,5,69,78,79,56,183,170,266,73943,11981,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000051.spe,115.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48865.20703,1.54,11,57,19,41,7,12,71,0,41,5,264,20,28,538,267,0,385,151,0,0,0,279,0,0,34,33,42,47,72,146,319,250,414,73792,12241,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000052.spe,116.85,5.54,1,0.018673,-0.004017,0.009223,0.089663,48733.01953,1.44,0,33,30,29,0,0,78,0,38,26,701,0,1093,635,335,7,367,88,0,0,0,0,0,0,0,19,54,70,100,65,278,256,307,73212,12216,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000053.spe,117.85,5.61,1,0.018673,-0.004017,0.009223,0.089663,47355.24609,1.29,22,24,32,26,11,0,187,4,26,25,169,7,50,577,307,0,255,27,0,78,0,141,0,0,16,31,59,78,81,14,294,145,343,72546,12252,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000054.spe,118.85,5.73,1,0.018673,-0.004017,0.009223,0.089663,46167.99609,1.03,4,5,40,21,12,7,267,0,43,28,137,0,0,605,424,175,57,0,160,35,0,215,0,34,19,32,70,53,66,83,223,122,246,72901,11989,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000055.spe,119.85,5.76,1,0.018673,-0.004017,0.009223,0.089663,45711.5,1.07,0,25,22,12,0,0,231,0,38,65,195,20,328,730,341,88,92,56,0,0,0,351,0,0,0,43,84,72,65,144,123,0,260,72513,11766,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000056.spe,120.85,5.76,1,0.018673,-0.004017,0.009223,0.089663,46499.44922,1.16,33,12,17,0,0,0,251,8,38,79,1925,29,6376,1376,352,120,107,0,0,0,0,299,0,18,0,24,46,97,86,158,188,26,122,72276,11845,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000057.spe,121.85,5.76,1,0.018673,-0.004017,0.009223,0.089663,46759.95313,1.05,13,18,52,10,0,0,241,0,39,55,267,0,1480,882,235,0,0,0,0,0,0,216,0,0,0,42,65,64,26,196,398,12,21,73367,12296,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000058.spe,122.85,5.76,1,0.018673,-0.004017,0.009223,0.089663,46640.15625,1.15,0,37,21,0,0,0,215,0,52,7,381,18,1372,745,436,0,180,0,0,0,0,342,0,9,49,27,58,48,54,78,50,45,128,73626,12294,Mo,1
Z:\Data\2017\2017rc0101 M. Bird\U123_XRF\XRF data\L000059.spe,123.85,5.78,1,0.018673,-0.004017,0.009223,0.089663,45894.30078,1.06,39,43,28,15,0,0,259,15,61,5,108,44,1579,753,241,12,173,0,44,80,0,541,0,0,40,50,78,27,9,137,251,0,231,73006,11965,Mo,1
