Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data     13/10/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Rb,Sr,Y,Zr,Sn,Cs,Ba,La,Ce,Pr,Nd,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Tube,Location
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000027.spe,30.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,45390.38281,1.07,0,73,31,21,51,35,125,0,57,331,58,0,7054,734,268,30,57,241,28,121,290,1240,0,0,9,0,0,14,21,56,129,51,68,112835,19056,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000028.spe,31.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,45666.75781,1.1,0,72,22,67,29,0,125,34,44,311,38,10,7185,776,284,0,130,337,36,56,0,1545,11,0,0,0,21,25,20,103,129,0,20,112673,18951,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000029.spe,32.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,45443.84766,1.37,0,64,60,38,49,20,136,0,45,299,73,45,7245,700,265,7,141,366,13,0,0,1789,17,29,6,0,21,62,57,52,112,66,230,111482,19049,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000030.spe,33.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,45483.20703,1.07,0,23,56,73,23,15,122,0,82,332,48,14,6613,736,329,0,93,226,0,19,0,2107,0,10,0,0,10,22,37,0,64,0,78,110382,19444,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000031.spe,34.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,45365.13672,1.04,17,82,31,87,32,42,75,0,67,364,57,0,6671,636,308,0,36,244,37,23,120,2024,0,0,0,8,26,19,0,24,92,71,117,111591,19672,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000032.spe,35.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,45329.21484,1.26,0,99,86,74,14,39,111,33,51,357,90,37,6713,827,256,0,60,325,121,29,53,2339,0,9,7,0,0,65,46,54,205,0,48,112341,19706,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000033.spe,36.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,45219.13672,1.11,0,47,53,70,18,30,101,0,41,302,102,0,6384,685,303,0,68,401,72,244,327,2648,16,23,0,0,16,34,20,80,80,37,85,114514,19875,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000034.spe,37.61,6.64,1,0.018664,-0.008152,0.009506,0.092334,45031.07813,1.21,0,89,97,54,64,63,126,17,5,185,67,0,3472,775,292,52,115,53,33,0,241,2444,0,0,0,9,9,16,21,36,196,0,67,115511,18523,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000035.spe,38.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,45322.5625,1.34,0,32,46,31,50,34,77,5,40,119,66,0,2290,763,334,0,31,139,0,149,160,1493,0,0,27,0,0,9,23,79,89,19,48,117182,18534,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000036.spe,39.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,45235.31641,1.19,0,64,80,106,49,64,65,0,20,170,26,0,2280,743,195,0,164,170,0,160,95,1526,0,0,0,0,12,29,15,15,251,51,63,116682,18250,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000037.spe,40.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,45023.52344,1.22,38,117,77,97,74,78,81,27,0,157,38,45,2068,696,284,0,68,298,0,0,189,1533,24,0,0,9,50,7,0,79,97,78,114,115148,18039,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000038.spe,41.61,6.65,1,0.018664,-0.008152,0.009506,0.092334,44693.48438,1.4,0,106,59,68,65,0,58,7,39,53,53,0,2154,751,339,0,107,194,72,109,102,1369,0,0,0,0,0,0,17,17,133,59,11,113418,17801,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000039.spe,42.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44786.16016,1.4,0,116,91,65,116,71,72,17,20,74,38,9,2202,640,203,0,82,273,0,10,163,2694,0,0,0,0,0,0,0,7,64,32,56,114157,17782,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000040.spe,43.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44833.57031,1.34,0,44,84,110,67,49,89,14,48,55,43,0,2999,828,364,8,89,240,57,43,123,1676,0,0,0,20,10,0,5,35,165,37,29,115258,17769,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000041.spe,44.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,44547.66797,1.25,0,36,61,54,47,17,72,12,38,59,62,21,3038,692,253,0,170,339,0,30,0,1647,0,0,0,14,0,0,0,25,217,0,34,114362,17277,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000042.spe,45.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44715.22266,1.37,0,114,83,83,80,13,106,0,9,76,53,0,2568,763,323,0,101,478,156,123,111,920,10,0,0,8,12,0,8,71,139,0,68,115853,17428,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000043.spe,46.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,44549.97266,1.39,0,81,85,69,52,17,112,0,36,101,9,5,2558,708,256,32,17,499,27,0,152,545,0,0,0,0,0,0,24,54,145,0,37,116699,17307,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000044.spe,47.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44513.03125,1.35,0,80,93,63,56,61,110,11,9,42,42,0,2604,739,244,0,46,388,61,0,314,948,30,0,20,0,0,0,23,67,164,30,120,114995,17374,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000045.spe,48.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44246.4375,1.48,0,113,97,108,65,64,92,11,20,46,6,16,2445,708,377,28,101,325,0,0,228,1150,0,0,0,0,18,8,7,0,125,50,40,114531,17532,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000046.spe,49.61,6.67,1,0.018664,-0.008152,0.009506,0.092334,44322.73438,1.42,0,127,108,73,43,56,98,32,32,67,36,0,1854,740,234,0,0,287,23,0,301,1983,0,0,0,0,0,0,6,18,130,56,60,116519,17671,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000047.spe,50.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,44330.47656,1.35,0,67,65,75,55,17,103,0,59,28,59,11,1843,684,296,0,51,186,0,71,164,1110,0,0,15,6,0,14,30,41,175,0,80,115828,17379,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000048.spe,51.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44243.53125,1.39,0,84,79,66,51,24,95,18,7,54,47,11,2894,761,270,0,24,167,24,14,195,748,0,0,0,0,0,0,0,5,130,0,65,115841,17337,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000049.spe,52.61,6.66,1,0.018664,-0.008152,0.009506,0.092334,44080.08594,1.46,0,69,84,62,63,40,76,7,31,91,26,26,2558,821,245,34,100,186,0,20,0,697,0,0,0,0,10,0,9,98,164,53,72,115867,17164,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000050.spe,53.61,6.66,1,0.018664,-0.008152,0.009506,0.092334,44419.97656,1.42,8,140,132,146,77,47,110,0,0,39,35,0,2728,732,221,18,139,136,0,35,326,898,15,0,0,0,0,0,16,41,170,22,130,116650,17119,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000051.spe,54.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,44400.94531,1.53,0,75,95,60,67,32,93,0,23,51,17,0,2557,680,258,9,57,68,33,99,39,543,8,0,0,0,30,23,9,28,148,0,0,116556,16885,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000052.spe,55.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44079.89063,1.31,0,64,82,73,95,72,84,15,21,65,0,23,2193,731,330,0,112,133,159,104,198,988,18,0,0,0,0,26,0,46,110,59,52,115436,16967,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000053.spe,56.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44162.98047,1.4,0,144,74,100,78,40,98,0,12,43,28,0,1946,742,201,0,103,92,136,77,75,1367,10,0,0,0,19,0,0,52,197,0,74,116196,17288,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000054.spe,57.61,6.71,1,0.018664,-0.008152,0.009506,0.092334,44202.90625,1.75,0,132,137,104,65,32,86,30,29,76,29,20,1862,751,220,0,28,242,0,136,126,935,0,0,0,0,13,0,0,27,197,0,33,116416,17275,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000055.spe,58.61,6.7,1,0.018664,-0.008152,0.009506,0.092334,43901.95703,1.62,0,72,102,103,78,18,91,23,27,67,41,25,2086,701,233,0,140,426,23,59,121,767,0,0,0,0,21,35,6,26,228,0,76,116132,16974,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000056.spe,59.61,6.65,1,0.018664,-0.008152,0.009506,0.092334,44176.04688,1.56,0,29,77,79,60,25,84,17,36,10,41,0,2101,793,246,0,95,414,41,99,193,882,0,0,16,0,0,14,18,25,212,0,75,116423,16973,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000057.spe,60.61,6.71,1,0.018664,-0.008152,0.009506,0.092334,44273.90234,1.44,0,94,81,62,99,34,95,0,13,53,31,0,1956,751,278,25,101,191,15,195,117,647,0,0,0,0,0,30,17,37,177,48,139,116179,17055,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000058.spe,61.61,6.66,1,0.018664,-0.008152,0.009506,0.092334,44142.13281,1.36,0,143,84,75,66,51,90,21,80,16,37,33,2125,765,219,6,36,163,0,0,284,488,0,0,26,0,0,34,31,27,274,52,34,115428,16889,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000059.spe,62.61,6.67,1,0.018664,-0.008152,0.009506,0.092334,44560.65625,1.52,16,124,181,90,66,43,106,0,17,55,34,0,1876,786,252,0,99,0,41,0,249,903,0,0,0,0,0,0,0,23,167,9,54,117062,17262,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000060.spe,63.61,6.68,1,0.018664,-0.008152,0.009506,0.092334,44537.77344,1.38,0,69,55,66,35,32,89,22,60,56,34,0,2310,751,230,0,93,129,0,0,147,1053,0,0,0,0,0,6,0,65,210,41,108,115625,17286,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000061.spe,64.61,6.69,1,0.018664,-0.008152,0.009506,0.092334,44576.37891,1.31,0,82,62,95,78,43,102,0,0,23,151,18,2798,852,265,0,0,122,0,26,165,932,0,0,0,0,0,0,10,42,193,13,14,115651,17580,Cr,2
Z:\Data\2017\2017rc0101 M. Bird\U124_XRF\XRF data\L000062.spe,65.61,6.67,1,0.018664,-0.008152,0.009506,0.092334,44352.27734,1.28,0,52,92,93,64,0,99,0,0,74,10,42,2238,734,253,0,71,176,0,97,332,754,0,0,0,0,0,0,0,22,51,8,76,115222,17495,Cr,2
