P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data     19/12/2017  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Br,Rb,Sr,Y,Zr,Pd,Sn,Ba,Ta,Pb,Mo inc,Mo coh,Tube,Location
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000027.spe,83.64,6.52,1,0.018657,-0.005509,0.008729,0.098113,31718.80859,1.27,0,0,54,14,0,0,2216,0,443,263,334,0,716,295,419,391,8,87,34,0,68,69,120,92,35,0,61,243,0,36517,31475,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000028.spe,84.64,6.58,1,0.018657,-0.005509,0.008729,0.098113,32337.18555,1.13,30,0,42,14,0,21,2179,4,425,278,343,20,597,177,359,289,0,0,0,60,0,0,93,0,51,0,22,450,0,38844,32599,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000029.spe,85.64,6.5,1,0.018657,-0.005509,0.008729,0.098113,33959.91016,1.04,15,32,23,6,0,0,1717,0,381,309,417,0,621,0,372,394,0,466,0,0,78,23,0,162,34,9,0,481,110,44390,38467,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000030.spe,86.64,6.48,1,0.018657,-0.005509,0.008729,0.098113,34559.97266,1.13,0,10,51,4,0,22,1680,9,454,291,414,0,663,0,336,384,23,112,161,32,0,18,0,0,7,0,21,459,0,44367,39221,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000031.spe,87.64,6.47,1,0.018657,-0.005509,0.008729,0.098113,36135.59766,1.17,13,29,51,5,10,42,1726,16,510,304,392,0,1702,280,337,569,0,0,201,0,50,75,50,95,27,0,0,164,0,44418,39311,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000032.spe,88.64,6.47,1,0.018657,-0.005509,0.008729,0.098113,35349.11328,1.03,4,0,21,14,20,9,1725,0,563,219,318,0,1492,0,353,322,0,156,117,75,0,9,0,35,34,0,34,395,0,42046,36743,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000033.spe,89.64,6.46,1,0.018657,-0.005509,0.008729,0.098113,34597.97656,1.35,16,0,56,10,0,30,1771,7,539,354,302,0,1760,310,413,401,0,0,190,0,67,0,0,185,20,0,75,238,0,41625,37481,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000034.spe,90.64,6.47,1,0.018657,-0.005509,0.008729,0.098113,33773.04297,1.08,0,10,75,28,22,25,1781,0,568,370,344,0,1121,281,343,410,0,0,36,112,60,75,28,200,50,17,30,297,0,41354,37279,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000035.spe,91.64,6.48,1,0.018657,-0.005509,0.008729,0.098113,34559.67578,1.14,16,9,66,8,20,38,1719,30,615,438,278,0,1509,143,423,479,84,0,84,0,0,0,65,20,42,0,52,208,0,42217,37386,Cr,1
P:\carob\llr\Data\2017\2017rc0101 M. Bird\Cr\U123_Cr_XRF\XRF data\L000036.spe,92.64,6.46,1,0.018657,-0.005509,0.008729,0.098113,32933.66406,1.07,0,21,51,10,8,17,1933,0,550,427,360,124,1302,0,414,345,60,314,40,0,152,40,0,0,56,0,21,319,69,39854,34039,Cr,1
