"","Identifier","lc.result","med.result","uc.result","CT","dT","CR","dR","HyPy treatment","Sample.weight","Catalyst","% Catalyst","Pre.Sample.Weight","Pre HyPy Insert Weight (g)","Post HyPy Insert Weight (g)","Post.Sample.Weight","av_d13C","av_C","av_Cpost","av_d13Cpost","PreHypy.X.C","C.pre.mg","C.post.mg","Ratio.BCTOC","BlackCarbon.Perc","Corrected","Dry_bulk_density2","Water","Depth","max","min","median","mean","yearbetsamples","sedrate","sedrate.mm","MAR","sed.rate.inv","PyCxMAR"
"25",75,-25.1217604943351,-25.0078997918219,-24.8828817370854,1.82666666666667,-26.86,0.28,-25.07,"550-8/min",0.2564,0.0139,5.42121684867395,0.114674,0.793629,0.784087,0.105132,-26.86,1.82666666666667,0.28,-25.07,1.73273153286472,1.98699255799729,0.2943696,14.8148315309595,0.27061758929886,0.258004695391039,NA,NA,47,9953,11725,10674,10714,308,0.00324675324675325,0.0324675324675325,NA,308,NA
"26",78,-25.0611989346088,-24.9266637788741,-24.7606083926708,2.89,-27.25,0.3,-25.04,"550-8/min",0.2647,0.0145,5.47789950887798,0.160784,0.847896,0.832267,0.145155,-27.25,2.89,0.3,-25.04,2.73991045845272,4.40533763151863,0.435465,9.88494041601721,0.285674778022897,0.268513311787154,0.975513092710545,34.7561186692976,51,10521,14232,11858,12016,379,0.00263852242744063,0.0263852242744063,2.57391317337875,379,0.0691129950436511
"27",79,-23.8817096692251,-23.5303575573781,-22.8166246365387,2.6,-27.44,0.1,-24.01,"550-8/min",0.2657,0.0187,7.0380127963869,0.162084,0.877938,0.840055,0.124201,-27.44,2.6,0.1,-24.01,2.42904360056259,3.93709102953587,0.124201,3.15463876929058,0.0820206080015551,0.0700123607858383,0.980750176928521,35.9263396635185,52,10706,14624,12260,12395,380,0.00263157894736842,0.0263157894736842,2.58092151823295,380,0.0180696408494459
"28",80,-25.1124782877699,-25.0067398290254,-24.8959862886058,1.35,-26.115,0.32,-25.03,"550-8/min",0.2407,0.0143,5.941005400914,0.113164,0.780679,0.770244,0.102729,-26.115,1.35,0.32,-25.03,1.27429411764706,1.44204219529412,0.3287328,22.796337102532,0.307750550884182,0.296316226357042,0.962336743228463,35.0363023466874,53,10854,15213,12750,12775,379,0.00263852242744063,0.0263852242744063,2.53914707975848,379,0.0752390480839534
"29",82,-24.7766036591026,-24.6711909332734,-24.5623365987169,1.43333333333333,-26.1966666666667,0.4,-24.7,"550-8/min",0.253,0.0139,5.49407114624506,0.182074,0.883177,0.865505,0.164402,-26.1966666666667,1.43333333333333,0.4,-24.7,1.35868614961908,2.47381422005745,0.657608,26.5827560803951,0.381019503818996,0.367815199822545,0.959094125973107,35.4675360710322,55,11132,16551,13453,13533,454,0.00220264317180617,0.0220264317180617,2.11254212769407,454,0.0777025104831338
"30",85,-24.7960427657658,-24.683120110633,-24.5572970634187,1.75,-26.87,0.3,-24.75,"550-8/min",0.2195,0.017,7.74487471526196,0.178471,0.882558,0.866174,0.162087,-26.87,1.75,0.3,-24.75,1.62420718816068,2.89873881078224,0.486261,16.7749159804011,0.29356102965702,0.280804931036294,0.910633333,34.7260180377152,58,12367,17170,14865,14896,454,0.00220264317180617,0.0220264317180617,2.00580029295154,454,0.0563238612934836
"31",86,-24.7166910199742,-24.6077166379111,-24.4903786633621,1.4,-26.3,0.3,-24.65,"550-8/min",0.2648,0.0155,5.85347432024169,0.165668,0.875373,0.854134,0.144429,-26.3,1.4,0.3,-24.65,1.32258294684267,2.19109671637531,0.433287,19.7748915765242,0.276848482071339,0.265820080462097,0.842179759377211,35.2994935455619,59,12687,17474,15386,15350,455,0.0021978021978022,0.021978021978022,1.85094452610376,455,0.049201822285978
"32",87,-25.3528213256737,-25.2467459997942,-25.1367978651883,1.7,-27.13,0.5,-25.28,"550-8/min",0.2708,0.0129,4.76366322008863,0.196185,0.874716,0.853434,0.174903,-27.13,1.7,0.5,-25.28,1.6227000352485,3.18349406415227,0.874515,27.4702883805399,0.466994902469179,0.451038139675665,1.08881811748054,36.0434959222573,60,12970,18013,15862,15805,313,0.00319488817891374,0.0319488817891374,3.47865213252568,313,0.156900478643317
"33",89,-24.7696948517886,-24.6633275281061,-24.5593490462956,1.1,-25.005,0.3,-24.67,"550-8/min",0.2567,0.0134,5.22010128554733,0.160538,0.846488,0.83166,0.14571,-25.005,1.1,0.3,-24.67,1.04542761940022,1.67830859163273,0.43713,26.0458655922593,0.286504521514852,0.276486785798874,0.894550601556971,32.3783224024853,62,14231,18162,16536,16431,313,0.00319488817891374,0.0319488817891374,2.85798914235454,313,0.0790196231817688
"34",90,-24.8062114245867,-24.7032040192806,-24.5998776565134,0.73,-25.145,0.26,-24.71,"550-8/min",0.245,0.014,5.71428571428571,0.110446,0.778058,0.767645,0.100033,-25.145,0.73,0.26,-24.71,0.69054054054054,0.762674405405405,0.2600858,34.1018130615973,0.24894323534966,0.241141995440843,1.00083510261854,30.6431392441755,63,14667,18265,16908,16744,313,0.00319488817891374,0.0319488817891374,3.1975562383979,313,0.0771065091861586
"35",91,-24.9997654609093,-24.8949901714678,-24.790756775692,0.78,-25.83,0.26,-24.91,NA,NA,NA,NA,NA,NA,NA,NA,-25.83,0.78,0.26,-24.91,NA,NA,NA,NA,NA,NA,0.99,33.9928835387841,64,15006,18394,17286,17057,313,0.00319488817891374,0.0319488817891374,3.1629392971246,313,NA
"36",93,-24.5454688198969,-24.444130460187,-24.3406551514963,0.61,-25.625,0.22,-24.46,"550-8/min",0.2739,0.0155,5.65899963490325,0.128548,0.799534,0.789856,0.11887,-25.625,0.61,0.22,-24.46,0.577328956461645,0.742144826952315,0.261514,35.2375965583336,0.214949339005835,0.208294646084152,0.99,30.4039696769781,66,16370,18707,17983,17820,449,0.0022271714922049,0.022271714922049,2.20489977728285,449,0.0459268818760157
"37",94,-25.0573495987928,-24.9448674114234,-24.8182558492207,1.3,-26.56,0.2,-25,"550-8/min",0.2562,0.014,5.46448087431694,0.164937,0.850618,0.83838,0.152699,-26.56,1.3,0.2,-25,1.23264248704663,2.0330835388601,0.305398,15.0214191479426,0.195278448923253,0.18624945972868,0.99,32.9663361770809,67,17469,18794,18347,18269,450,0.00222222222222222,0.0222222222222222,2.2,450,0.0409748811403096
"38",96,-24.6905559169766,-24.5861719591735,-24.4783221592913,0.575,-25.735,0.15,-24.61,"550-8/min",0.2432,0.0119,4.89309210526316,0.120955,0.796148,0.782458,0.107265,-25.735,0.575,0.15,-24.61,0.548177185417483,0.663047714621717,0.1608975,24.2663531525473,0.139531530627147,0.134495618261909,0.99,30.3248570472332,69,18672,19819,19116,19169,450,0.00222222222222222,0.0222222222222222,2.2,450,0.02958903601762
"39",97,-24.7227749015479,-24.6222519412113,-24.5230242046235,0.96,-25.875,1.02,-24.63,"550-8/min",0.287,0.0138,4.80836236933798,0.119327,0.795187,0.682634,0.00677399999999995,-25.875,0.96,1.02,-24.63,0.915957446808511,1.09298454255319,0.0690947999999995,6.32166305285483,0.0606879653074063,0.0556580052033395,0.99,29.8422055779096,70,18779,20926,19460,19619,289,0.00346020761245675,0.0346020761245675,3.42560553633218,289,0.0190662370765765
"40",98,-24.814563574091,-24.7128548734578,-24.6119147046164,0.75,-25.905,0.3,-24.73,"550-8/min",0.2588,0.0132,5.10046367851623,0.181768,0.861889,0.844993,0.164872,-25.905,0.75,0.3,-24.73,0.71360294117647,1.29710179411765,0.494616,38.1323965661818,0.285992974246363,0.277385268868984,0.942250530785563,34.5998643002535,71,19181,21027,19794,19908,290,0.00344827586206897,0.0344827586206897,3.24913976132953,290,0.0901263506289296
"41",101,-24.8228435613896,-24.7194939661455,-24.6140173326615,0.875,-23.695,0.25,-24.7,"550-8/min",0.2837,0.0123,4.33556573845612,0.136447,0.792548,0.781013,0.124912,-23.695,0.875,0.25,-24.7,0.838640202702703,1.14429939738176,0.31228,27.2900606881835,0.238788031021606,0.23060591276628,0.904097664543524,30.2908265206367,74,19935,21510,20804,20777,290,0.00344827586206897,0.0344827586206897,3.11757815359836,290,0.0718931955730764
